id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
GIE_LG_0;Zeebrugge LNG Terminal;['GIE_LG_0'];['GIE_N_0'];51.323;3.213;BE;None;{'eic_code': '21X000000001006T', 'facility_code': '21W0000000001245', 'max_cap_store2pipe_M_m3_per_d': 47.594895754465796, 'max_workingGas_M_m3': 329.084, 'median_cap_store2pipe_M_m3_per_d': 39.10523320306847, 'name_short': 'Zeebrugge', 'nuts_id_1': 'BE2', 'nuts_id_2': 'BE25', 'nuts_id_3': 'BE251'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_1;Bilbao LNG Terminal;['GIE_LG_1'];['GIE_N_1'];43.3612;-3.09473;ES;None;{'eic_code': '21X000000001352A', 'facility_code': '21W0000000000362', 'max_cap_store2pipe_M_m3_per_d': 19.592205701514846, 'max_workingGas_M_m3': 262.11672, 'median_cap_store2pipe_M_m3_per_d': 19.592205701514846, 'name_short': 'Bilbao', 'nuts_id_1': 'ES2', 'nuts_id_2': 'ES21', 'nuts_id_3': 'ES213'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_2;Barcelona LNG Terminal;['GIE_LG_2'];['GIE_N_2'];41.398;2.174;ES;None;{'eic_code': '21X000000001254A', 'facility_code': '21W000000000039X', 'max_cap_store2pipe_M_m3_per_d': 47.7620497321617, 'max_workingGas_M_m3': 489.28688, 'median_cap_store2pipe_M_m3_per_d': 47.7620497321617, 'name_short': 'Barcelona', 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES51', 'nuts_id_3': 'ES511'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_3;Cartagena LNG Terminal;['GIE_LG_3'];['GIE_N_3'];37.624;-0.998;ES;None;{'eic_code': '21X000000001254A', 'facility_code': '21W000000000038Z', 'max_cap_store2pipe_M_m3_per_d': 33.06129727269546, 'max_workingGas_M_m3': 341.92032, 'median_cap_store2pipe_M_m3_per_d': 33.06129727269546, 'name_short': 'Cartagena', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES62', 'nuts_id_3': 'ES620'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_4;Huelva LNG Terminal;['GIE_LG_4'];['GIE_N_4'];37.2583;-6.9508;ES;None;{'eic_code': '21X000000001254A', 'facility_code': '21W0000000000370', 'max_cap_store2pipe_M_m3_per_d': 33.06129727269546, 'max_workingGas_M_m3': 360.84776000000005, 'median_cap_store2pipe_M_m3_per_d': 33.06129727269546, 'name_short': 'Huelva', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES61', 'nuts_id_3': 'ES615'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_5;Sagunto LNG Terminal;['GIE_LG_5'];['GIE_N_5'];39.6426;-0.2344;ES;None;{'eic_code': '18XTGPRS-12345-G', 'facility_code': '21W0000000000354', 'max_cap_store2pipe_M_m3_per_d': 24.48365894356346, 'max_workingGas_M_m3': 349.48895999999996, 'median_cap_store2pipe_M_m3_per_d': 24.48365894356346, 'name_short': 'Sagunto', 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES52', 'nuts_id_3': 'ES523'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_6;Mugardos LNG Terminal;['GIE_LG_6'];['GIE_N_6'];43.4578;-8.253;ES;None;{'eic_code': '18XRGNSA-12345-V', 'facility_code': '21W0000000000338', 'max_cap_store2pipe_M_m3_per_d': 10.13480959503597, 'max_workingGas_M_m3': 175.2, 'median_cap_store2pipe_M_m3_per_d': 10.13480959503597, 'name_short': 'Mugardos', 'nuts_id_1': 'ES1', 'nuts_id_2': 'ES11', 'nuts_id_3': 'ES111'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_7;Fos Tonkin LNG Terminal;['GIE_LG_7'];['GIE_N_7'];43.454;4.85167;FR;None;{'eic_code': '21X0000000010679', 'facility_code': '63W179356656691A', 'max_cap_store2pipe_M_m3_per_d': 14.700752459466235, 'max_workingGas_M_m3': 87.6, 'median_cap_store2pipe_M_m3_per_d': 8.436877084756507, 'name_short': 'FosTonkin', 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0', 'nuts_id_3': 'FRL04'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_8;Montoir de Bretagne LNG Terminal;['GIE_LG_8'];['GIE_N_8'];47.32;-2.14;FR;None;{'eic_code': '21X0000000010679', 'facility_code': '63W631527814486R', 'max_cap_store2pipe_M_m3_per_d': 30.369238474014033, 'max_workingGas_M_m3': 210.23999999999998, 'median_cap_store2pipe_M_m3_per_d': 29.647837096589598, 'name_short': 'MontoirDeBretagne', 'nuts_id_1': 'FRG', 'nuts_id_2': 'FRG0', 'nuts_id_3': 'FRG01'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_9;Dunkerque LNG Terminal;['GIE_LG_9'];['GIE_N_9'];51.033134;2.194792;FR;None;{'eic_code': '21X000000001331I', 'facility_code': '21W0000000000451', 'max_cap_store2pipe_M_m3_per_d': 45.72980926649042, 'max_workingGas_M_m3': 350.4, 'median_cap_store2pipe_M_m3_per_d': 45.72980926649042, 'name_short': 'Dunkerque', 'nuts_id_1': 'FRE', 'nuts_id_2': 'FRE1', 'nuts_id_3': 'FRE11'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_10;Fos Cavaou LNG Terminal;['GIE_LG_10'];['GIE_N_10'];43.42239;4.89863;FR;None;{'eic_code': '21X000000001070K', 'facility_code': '63W943693783886F', 'max_cap_store2pipe_M_m3_per_d': 26.39273332040617, 'max_workingGas_M_m3': 192.72, 'median_cap_store2pipe_M_m3_per_d': 23.383961721879867, 'name_short': 'FosCavaou', 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0', 'nuts_id_3': 'FRL04'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_11;Isle of Grain LNG Terminal;['GIE_LG_11'];['GIE_N_11'];51.45;0.711;GB;None;{'eic_code': '21X-GB-A-A0A0A-7', 'facility_code': '21W000000000099F', 'max_cap_store2pipe_M_m3_per_d': 56.65640086113858, 'max_workingGas_M_m3': 599.4176000000001, 'median_cap_store2pipe_M_m3_per_d': 56.65640086113858, 'name_short': 'IsleofGrain', 'nuts_id_1': 'UKJ', 'nuts_id_2': 'UKJ4', 'nuts_id_3': 'UKJ41'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_12;South Hook LNG Terminal;['GIE_LG_12'];['GIE_N_12'];51.713781;-5.078012;GB;None;{'eic_code': '21X0000000013554', 'facility_code': '21W0000000000419', 'max_cap_store2pipe_M_m3_per_d': 57.1842555275467, 'max_workingGas_M_m3': 438.98112000000003, 'median_cap_store2pipe_M_m3_per_d': 57.1842555275467, 'name_short': 'SouthHook', 'nuts_id_1': 'UKL', 'nuts_id_2': 'UKL1', 'nuts_id_3': 'UKL14'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_13;Revythoussa LNG Terminal;['GIE_LG_13'];['GIE_N_13'];37.96;23.4023;GR;None;{'eic_code': '21X-GR-A-A0A0A-G', 'facility_code': '21W000000000040B', 'max_cap_store2pipe_M_m3_per_d': 23.74466241059208, 'max_workingGas_M_m3': 131.4, 'median_cap_store2pipe_M_m3_per_d': 18.079022324478228, 'name_short': 'Revythoussa', 'nuts_id_1': 'GR', 'nuts_id_2': 'GR', 'nuts_id_3': 'GR'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_14;Panigaglia LNG Terminal;['GIE_LG_14'];['GIE_N_14'];44.073876;9.830632;IT;None;{'eic_code': '26X00000117915-0', 'facility_code': '59W0000000000011', 'max_cap_store2pipe_M_m3_per_d': 10.513105439295124, 'max_workingGas_M_m3': 46.72, 'median_cap_store2pipe_M_m3_per_d': 10.513105439295124, 'name_short': 'Panigaglia', 'nuts_id_1': 'ITC', 'nuts_id_2': 'ITC3', 'nuts_id_3': 'ITC34'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_LG_15;FSRU OLT Offshore LNG Toscana;['GIE_LG_15'];['GIE_N_15'];43.548;10.2808;IT;None;{'eic_code': '21X000000001109G', 'facility_code': '21W0000000000443', 'max_cap_store2pipe_M_m3_per_d': 14.665562148372361, 'max_workingGas_M_m3': 80.10144, 'median_cap_store2pipe_M_m3_per_d': 14.647966992825424, 'name_short': 'Toscana', 'nuts_id_1': 'ITI', 'nuts_id_2': 'ITI1', 'nuts_id_3': 'ITI17'};{'eic_code': 0, 'facility_code': 0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'median_cap_store2pipe_M_m3_per_d': 0.0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'median_cap_store2pipe_M_m3_per_d': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
